flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1369923,1029,217,10/16/2016 16:30:00,10/16/2016 22:00:00,3,New flights,
1369960,1485,824,10/16/2016 10:10:00,10/16/2016 17:50:00,2,New flights,
1369961,1485,824,10/16/2016 11:05:00,10/16/2016 19:45:00,2,New flights,
1369919,1029,217,10/16/2016 12:00:00,10/16/2016 15:50:00,2,New flights,
1369963,1485,824,10/16/2016 20:25:00,10/17/2016 05:55:00,2,New flights,
1369951,1485,3596,10/16/2016 19:15:00,10/17/2016 08:15:00,3,New flights,
1342037,1003,3863,10/17/2016 08:00:00,10/17/2016 22:55:00,2,New flights,
1369920,1029,217,10/16/2016 18:30:00,10/16/2016 22:35:00,2,New flights,
1369950,1485,3596,10/16/2016 11:05:00,10/16/2016 23:55:00,2,New flights,
1369959,1485,824,10/16/2016 06:20:00,10/16/2016 17:10:00,2,New flights,
1369954,1485,824,10/16/2016 05:00:00,10/16/2016 14:10:00,2,New flights,
1310129,1046,152,10/15/2016 21:15:00,10/16/2016 07:10:00,2,New flights,
1300892,925,4206,10/13/2016 21:00:00,10/14/2016 05:55:00,3,New flights,
1319207,925,1005,10/17/2016 00:00:00,10/17/2016 02:25:00,2,New flights,
1300884,925,4206,10/13/2016 17:55:00,10/14/2016 07:00:00,2,New flights,
1310125,1046,152,10/15/2016 01:50:00,10/15/2016 11:35:00,2,New flights,
1300879,4206,1485,10/13/2016 11:00:00,10/13/2016 23:15:00,2,New flights,
1310126,1046,152,10/15/2016 06:20:00,10/15/2016 16:05:00,2,New flights,
1300881,4206,1485,10/13/2016 21:00:00,10/14/2016 06:15:00,2,New flights,
1300883,925,4206,10/13/2016 08:45:00,10/13/2016 20:55:00,10,New flights,
1300886,925,4206,10/13/2016 00:15:00,10/13/2016 11:05:00,2,New flights,
1300888,925,4206,10/13/2016 08:00:00,10/13/2016 20:30:00,2,New flights,
1300889,925,4206,10/13/2016 11:00:00,10/13/2016 23:30:00,2,New flights,
1300919,925,1587,10/13/2016 11:30:00,10/13/2016 19:00:00,3,New flights,
1300898,925,4206,10/13/2016 21:50:00,10/14/2016 07:15:00,2,New flights,
1300897,925,4206,10/13/2016 16:30:00,10/14/2016 06:45:00,2,New flights,
1300902,925,217,10/13/2016 19:30:00,10/14/2016 05:45:00,3,New flights,
1300912,925,217,10/13/2016 23:00:00,10/14/2016 10:45:00,2,New flights,
1300911,925,217,10/13/2016 19:50:00,10/14/2016 10:10:00,2,New flights,
1300907,925,217,10/13/2016 17:15:00,10/14/2016 12:55:00,2,New flights,
1300901,925,217,10/13/2016 08:45:00,10/13/2016 22:00:00,3,New flights,
1300916,925,217,10/13/2016 19:00:00,10/14/2016 10:10:00,2,New flights,
1300896,925,4206,10/13/2016 12:30:00,10/13/2016 20:20:00,2,New flights,
1300915,925,217,10/13/2016 15:00:00,10/14/2016 04:50:00,2,New flights,
1300920,925,1587,10/13/2016 15:15:00,10/13/2016 23:00:00,3,New flights,
1300899,925,4206,10/13/2016 00:40:00,10/13/2016 11:05:00,2,New flights,
1300921,925,1587,10/13/2016 11:30:00,10/13/2016 19:00:00,10,New flights,
1300903,925,217,10/13/2016 19:30:00,10/14/2016 05:45:00,10,New flights,
1300904,925,217,10/13/2016 00:40:00,10/13/2016 15:15:00,2,New flights,
1300905,925,217,10/13/2016 03:30:00,10/14/2016 02:05:00,2,New flights,
